,hotel_name,name,overall_rating,overall_review,location_and_surrounding_review,location_and_surrounding_rating,room_review,room_rating,service_review,service_rating,gastronomy_review,gastronomy_rating,sports_and_entertainment_review,sports_and_entertainment_rating,hotel_review,hotel_rating,traveled_as,children,duration,reason_for_travel,age_group,reviews_written
10,Hotel Roomers,Robyn,5.0,"Super schönes Designhotel im Herzen Frankfurts, toller Spa bereich, leckeres Restaurant, höheres Preisgebiet, kleine Abstriche bei Sauberkeit im Zimmer...",,6.0,,5.0,,4.0,,6.0,,5.0,,5.0,Paar,Keine Kinder,1-3 Tage im November 2018,Wandern und Wellness,26-30,21
11,Hotel Roomers,Max,6.0,"Das Spa im Roomers Frankfurt lässt keine Wünsche offen - Whirlpool, Sauna, Massage. Alles vorhanden. Exzellente Zimmer.",,6.0,,6.0,,5.0,,5.0,,6.0,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im November 2018,Arbeit,26-30,60
12,Hotel Roomers,Thomas,6.0,"Wie immer ist ein Aufenthalt im Roomers Frankfurt wie nach Hause kommen, super freundliches Personal, sehr schöne Zimmer und ein Top Restaurant sowie eine coole Bar, habe es nach langer Zeit wieder einmal sehr genoßen!!",,4.3,,5.5,,6.0,,5.8,,,,5.3,Alleinreisend,Keine Kinder,1-3 Tage im November 2018,Arbeit,56-60,1
13,Hotel Roomers,Felix,5.0,"Die Roomers Kette ist auf jeden Fall etwas Besonderes. Das Erste was mir sofort einfällt ist das dunkel gehaltene Design und die vielen Süßigkeiten beim Check-in. Achja und den Begrüßungsdrink direkt bei der Ankunft sollte man nicht ablehnen 😊
Ich fand mein Zimmer sehr klein. Das Bett füllte den kompletten Raum aus und viel mehr Platz war dann da auch nicht mehr. Auch das Bad war nicht besonders groß. Trotzdem gefiel mir hier auch das dunkle Design – wahrscheinlich aber auch nicht jedermanns Sache.
Der standardmäßig ausgestattete Fitnessraum befindet sich im obersten Stock, von dem man einen ganz netten Blick hat. Ich fand es aber schlecht ausgeschildert und irrte erst ein wenig über den Gang.
Ich habe viel positives über den Wellnessbereich gehört, konnte es aber leider während meines Aufenthaltes nicht ausprobieren.
Insgesamt ist das Roomers schon von der teureren Kategorie. Dafür bekommt man aber auch etwas geboten. Es ist auf jeden Fall einen Besuch wert.",,6.0,,5.0,,5.0,,,,,,5.0,Alleinreisend,Keine Kinder,1-3 Tage im Oktober 2018,Arbeit,26-30,70
14,Hotel Roomers,Dominik,6.0,"Bestes Hotel in Frankfurt! Wahnsinns Design, tolles Personal, exzellente Bar und fantastische Drinks. Segr gute Lage mit fußläufiger Verbindung zur Frankfurter Innenstadt",,6.0,,6.0,,6.0,,6.0,,6.0,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im Oktober 2018,Stadt,26-30,11
15,Hotel Roomers,Max,6.0,klasse designhotel in zentraler läge. die Ausstattung sucht ihres gleichen. exzellenter spa Bereich und tolle zimmer.,,6.0,,6.0,,5.0,,5.0,,6.0,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im Oktober 2018,Arbeit,26-30,60
16,Hotel Roomers,Hannah,5.0,Stylisches Hotel in Schwarz und dunkel gehalten - sehr modern und pompös ausgestattet. Das Bad ist schon speziell teilweise mit Spiegel versehen. Der Bademantel ist ein Traum und genügend amenties vorhanden. An der Rezeption wird man mit Getränken (z.b. Sekt) begrüsst und es gibt eine ziemlich große Süssigkeiten Ecke. Der Fitnessbereich finde ich leider etwas zu klein geraten.,,5.0,,5.0,,5.0,,,,,,5.0,Alleinreisend,Keine Kinder,3-5 Tage im September 2018,Arbeit,31-35,82
17,Hotel Roomers,Timo,6.0,"Ich war jetzt schon mehrfach im Roomers, habe allerdings noch nie eine Bewertung hinterlassen. Lag weniger an dem Aufenthalt oder an meiner Zufriedenheit, sondern viel mehr an meiner Faulheit, weil ich hier schon länger nicht mehr aktiv war und auch andere Hotels nicht mehr bewertet habe.

Das Roomers ist jedenfalls ein tolles Stadt-Hotel, wenn auch gleich einige Dinge mMn fehlen, welche man einfach vorher für sich abwägen muss. Da ich oft beruflich eincheckt habe, war es mir unter'm Strich egal.
Beispielsweise ist die Lage für mich i. O., es geht aber definitiv besser. Außerdem finde ich das Spa nicht so toll.

Jetzt habe ich aber bislang nur negativ Dinge erwähnt, was total unfair wäre, denn das Roomers bietet sonst eig. fast alles, was man in dieser Kategorie erwarten darf. Sehr guter und - für mich wichtig - ""junger"" Service, also nicht zu steif, tolles Ambiente, von der Lobby, bis zum Restaurant, öffentlichen Toiletten und den Zimmern.
Das Restaurant liefert eine gute bis sehr gute Qualität, welche auch für den Roomservice gilt.

Hervorheben möchte ich allerdings gerne zwei Dinge:
Die Bar. Schönes Ambient, etwas dunkler und was mich v. a. freut, hier ist fast täglich was los. Ich finde eine Bar macht ein Hotel irgendwie aus, wenn man nach einem langen Arbeitstag noch einen Drink nehmen kann und unter Menschen ist etc.
Die Kommunikation und der Service. Hierbei möchte ich v. a. das Team um Frau Carolin Götte (Head of Roomers Host) loben, welche mir einige Ding unkompliziert und zur vollsten Zufriedenheit ermöglicht haben.

Verbesserungswunsch:
Pay per View oder irgendeine Möglichkeit hierfür. Würde ich sehr begrüßen.",,4.0,,6.0,,6.0,,6.0,,3.0,,6.0,Freunde,Keine Kinder,1-3 Tage im September 2018,Arbeit,26-30,29
18,Hotel Roomers,Katharina,6.0,"Die Freundlichkeit des Personals sowie die Sauberkeit des Zimmers.
Das Essen im Restaurant sowie die Drinks in der Bar waren spitze!",,6.0,,6.0,,6.0,,6.0,,6.0,,6.0,Paar,Keine Kinder,1-3 Tage im September 2018,Sonstige,26-30,1
19,Hotel Roomers,Chri,5.0,"Das Hotel verfolgt durchweg die eigene Designlinie. Anfangs fühlte man sich durch das viele Schwarz etwas eingeschüchtert, später fand ich es dann angenehm edel.",Fußläufig erreichbar vom Hauptbahnhof. Ansonsten bietet die Umgebung nichts.,5.0,"Zimmer sind für ein 5* Haus etwas zu klein. Ansonsten alles da, was man erwartet.",5.0,"Nettes Detail: Schwarz gekleidete Türsteher, die einem die Tür öffnen. Muss man mögen.",5.0,,,,,,,Freunde,Keine Kinder,1-3 Tage im August 2018,Arbeit,26-30,5
20,Hotel Roomers,Florian,6.0,Stylisches Design Hotel in Main Nähe! Coole Bar am Abend. Schöne Design Zimmer und guter und aufmerksamer Service. Valet Parking ein schönes add on.,,5.0,,6.0,,5.0,,,,,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im Juli 2018,Arbeit,31-35,81
21,Hotel Roomers,Christoph,5.0,"Modernes und mondänes Stadthotel in günstiger Lage. Inneneinrichtung sehr dunkel gehalten, die wahrscheinlich umfangreichste (und teuerste) Minibar, die ich jemals gesehen habe - dafür leider keine Kaffeemaschine im Zimmer. =(",,5.0,,6.0,,5.0,,6.0,,5.0,,5.0,Paar,Keine Kinder,1-3 Tage im Juli 2018,Arbeit,41-45,47
22,Hotel Roomers,Harry,6.0,Sehr schön gelegenes Hotel. Zu Innenstadt 10 Minuten Fußweg. Zum Mainufer 5 Minuten Fußweg. Die Zimmer waren mir persönlich zu dunkel eingerichtet. Da Frühstück exzellent. Service zuvorkommend und kompetent.,,4.8,,5.3,,5.7,,4.8,,5.0,,5.0,Paar,Keine Kinder,1-3 Tage im Juli 2018,Arbeit,61-65,6
23,Hotel Roomers,Joe,6.0,"Sehr schönes Entree, sehr geschmackvolle Einrichtung. Erfüllt die Wünsche für private und geschäftliche Reisen gleichermaßen.",,4.0,,6.0,,6.0,,5.0,,6.0,,6.0,Paar,Keine Kinder,1-3 Tage im Juni 2018,Arbeit,56-60,4
24,Hotel Roomers,Lisa,6.0,Elegantes Design-Hotel im dunklen Stil (Gothic?) in zentraler Lage Nähe Hauptbahnhof. Definitiv etwas Besonderes.,2min Fußweg vom Hbf.,6.0,"Sehr elegant eingerichtet, man muss aber dunkle Töne mögen.",6.0,,,,,,,,,Paar,Keine Kinder,1-3 Tage im Mai 2018,Stadt,26-30,40
25,Hotel Roomers,Chris,4.0,Sehr modernes Designhotel in Top-Lage. Leider sind die Zimmer (möglicherweise aufgrund der dunkel gehaltenen Beleuchtung) nicht immer ganz sauber geputzt. Die Lage in unmittelbarer Nähe zum HBF ist ideal für Reisende und Geschäftsleute.,,6.0,,5.0,,5.0,,4.0,,,,4.0,Alleinreisend,Keine Kinder,3-5 Tage im Mai 2018,Arbeit,31-35,104
26,Hotel Roomers,Jörg,6.0,"Sehr trendiges Hotel in einer super Lage von Frankfurt und zum Main.
Tolles Entree und irre Bar , sowie toller Wellness Bereich .",Sehr zentral in Frankfurt zur Stadt wie zum Main gelegen.,6.0,"Zimmer sind recht dunkel, aber sehr stylisch eingerichtet. Viel Technik zum spielen, und ein modernes Bad",5.0,"Vom Getränk beim Check INN, die Süßigkeiten Bar am Tresen, sehr freundliches Personal",6.0,"Essen im Restaurant sehr lecker, und individuell.
Tolle Vorspeise, leckeres Filet ( aber Preisniveau sehr hoch )",6.0,Toller Wellness Bereich in der oberen Etage mit Dachterrasse und Fitnessstudio.,6.0,,,Familie,Keine Kinder,1-3 Tage im Mai 2018,Stadt,41-45,30
27,Hotel Roomers,Jürgen,6.0,"Waren übers W/E im Roomers, sehr geschmackvoll eingerichtet, freundliches, sehr junges und internationales Personal (schwarz gekleidet, aber dennoch lässig, Tatoos beim Personal auch kein Problem, find ich toll und spricht dafür, dass der Laden kein bischen spießig ist). Spa im 6. Stock mit tollem Ausblick und Liegen im Außenbereich. Sehr umfangreiches Frühstück, das wirklich keine Wünsche offen lässt!",,5.0,,5.8,,6.0,,6.0,,5.0,,6.0,Paar,Keine Kinder,1-3 Tage im Mai 2018,Stadt,51-55,1
28,Hotel Roomers,Christiane,6.0,Es war ein wunderschöner Aufenthalt. Das Zimmer.... schön. Das Abendessen.... sehr gut! Das Frühstück...... lecker. Rund um Zufriedenheit.,,4.0,,5.8,,6.0,,5.5,,,,5.3,Paar,Keine Kinder,1-3 Tage im April 2018,Sonstige,51-55,1
29,Hotel Roomers,David,2.0,"Sehr arrogantes und unfreundliches Personal in der Bar, zut Straßenseite extrem laut, um 6uhr früh beginnen Bauarbeiten auf der Straße, sehr überteuert für den in die Jahre gekommenen Zustand der Zimmer!!!!",,3.3,,3.0,,3.3,,4.0,,2.0,,3.0,Paar,Keine Kinder,1-3 Tage im April 2018,Stadt,31-35,1
30,Hotel Roomers,S-sc,6.0,"Perfektes Stadthotel, super freundliches Personsal, schönes Ambiente, Zimmer gut ausgestattet, immer wieder lohnenswert",,,,6.0,,,,,,,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im März 2018,Stadt,36-40,11
31,Hotel Roomers,GERD,6.0,"Wir waren anläßlich eines Opernbesuchs in Frankfurt und haben uns im ""Roomers"" ausgesprochen wohl gefühlt. Dazu trugen vor allem die freundlichen, kompetenten und hilfsbereiten Damen an der Rezeption und auch im Restaurantbereich bei. Obwohl der Andrang am WE zum Brunch von externen Gästen hoch war, verloren die Angestellten nicht ihre contenance und waren bemüht, alle Gäste zufriedenzustellen. Auf das tolle Frühstüchsbuffet(am WE bis 13 Uhr!!) zu warten lohnt sich allemal.Dank an das ganze Team! Wir kommen wieder",,5.3,,5.3,,6.0,,6.0,,5.0,,6.0,Paar,Keine Kinder,1-3 Tage im März 2018,Stadt,71+,4
32,Hotel Roomers,Markus,4.0,"Als ""normal"" gebliebenes Ehepaar mittleren Alters ist diese Hotel wohl nicht die beste Wahl.......................",Top Lage,6.0,"Hier und Da schon ein paar kleine Macken in den Möbeln. Fenster nicht sauber, Boden auch nicht wirklich rein aber schön eingerichtet mit einem sehr bequemem Bett",4.0,"Rezeptionsmitarbeiter sehr freundlich und informativ. Jedoch ein großes Minus stellt das Frühstück dar. Die Auswahl an Speisen und Getränken wäre gut, allerdings ist es kaum möglich einen Kaffee vom Servicepersonal zu erhalten. Da vor allem das männliche Servicepersonal lieber selbst Getränke zu sich nimmt und mit Vorliebe eher Damen mit hochhackigen Schuhen mit Liebe und Hingabe bedient. Der einzige Sonnenschein in diesem Restaurant ist die immer lächelnde und freundlich grüssende Dame aus der Küche, die das Buffet nachfüllt. Man fühlt sich als Gast nicht als König, sondern lästig. Anscheinend ist es Firmenphilosophie dieser Hotelkette eher junges Möchtegernpublikum anzusprechen. Man muss froh sein, dass man es Abends vorbei an den Einlasskontrollen in sein Zimmer schafft. Als ""normal"" gebliebenes Ehepaar mittleren Alters ist dieses Hotel wohl nicht die beste Wahl. Es gibt bessere...... Wir kommen nicht wieder und bereuen. dass wir das Konzept dieser Firma mit unserer Übernachtung unterstützt haben.",2.0,,,,,,,Paar,Keine Kinder,1-3 Tage im März 2018,Stadt,36-40,4
33,Hotel Roomers,felix,6.0,"geschäftlich oft hier. guter service, sehr hübsch eingerichtet. besonders nett;: morgens gibt e oft gratis ein croissant für den weg.... genau richtig, wenn man nicht die zeit zum frühstücken hat",sehr zentral,6.0,"top geplegt... manchmal merkt man an sehr kleinen kleinigkeiten, dass es nicht absolut neu ist, aber das sit normal",5.0,alles top,6.0,"sehr leckeres essen, tolle bar",6.0,saunabereich ist sehr schön und faktisch immer leer :),6.0,,,Alleinreisend,Keine Kinder,1-3 Tage im Februar 2018,Arbeit,41-45,6
34,Hotel Roomers,Daniela,6.0,"Das Hotel wirkt von außen eher unauffällig, aber sobald man in der Lobby ist wird man von seinem außergewöhnlichen Style direkt in den Bann gezogen. Für mich ist dieses Hotel der absolute Geheimtipp! Valet Parking für 25€ die Nacht absolut in Ordnung. An der Rezeption stehen Gläser mit Süßigkeiten, die man sich in eine Tüte abfüllen kann. Was uns auch sehr gut gefallen hat: Beim Check In bekommt man entweder ein Glas Sekt, ein Wasser oder frischen Orangensaft.",Sehr zentral in Frankfurt gelegen. Wer nicht mit dem Auto anreisen möchte kann bequem mit der Straßenbahn fast bis vor die Haustür fahren.,6.0,"Ich hatte für das Wochenende ein Arrangement in einem Komfort Zimmer gebucht, bekam aber ein Upgrade auf ein Deluxe Zimmer (Zimmer 218). Das Außergewöhnliche an diesem Zimmer ist die freistehende Badewanne mitten im Raum. Der absolute Hingucker. Alles war sehr sauber und in tollen, dunklen Tönen gehalten, die eine sehr gemütliche Stimmung vermitteln. Neben der Badewanne gibt es natürlich noch eine Dusche, Minibar sowie eine Nespresso Maschine. Einfach toll!",6.0,"Bei unserem Zimmer gab es leider ein Problem, so dass sich der Check In erheblich verzögert hatte. Als Entschädigung bekamen wir in der Bar 4 Cocktails sowie einen Shot pro Person for free. Desweiteren bekamen wir einen kostenfreien Late Check Out bis 15 Uhr. Das Personal war zu jederzeit freundlich und sehr bemüht.",6.0,"Klasse Frühstück. Selten so gut gegessen. Große Auswahl in einem tollen Restaurant. Alles war frisch und 1a angerichtet. Der Service war schnell und zuvorkommend. Besonders gefallen hat uns, dass man sonntags bis 13 Uhr frühstücken konnte.",6.0,"Schöner Spa auf der 6.ten Etage. Wasser und Obst gratis. Alles sauber und aufgeräumt. In den Duschen stehen Shampoo, Conditioner sowie Duschgel. Tolle Außenterrasse.",6.0,,,Paar,Keine Kinder,1-3 Tage im Februar 2018,Wandern und Wellness,31-35,48
35,Hotel Roomers,Sebastian,6.0,"Das Roomers in Frankfurt hat mir sehr gut gefallen. Sehr freundliches Personal, super Service. Die Zimmer sind sehr schön und ausgefallen eingerichtet. Zentrale Lage in FFM.",,5.0,,6.0,,6.0,,6.0,,,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im Januar 2018,Arbeit,26-30,95
36,Hotel Roomers,Marco,5.0,"Dunkel, verrucht, sexy......leide rüber die Zeit auch etwas in die Jahre gekommen.
In den Standart Zimmern deutliche Abnutzung und Gebrauchsspuren...",,5.0,,4.0,,5.0,,6.0,,5.0,,5.0,Paar,Keine Kinder,1-3 Tage im Dezember 2017,Arbeit,31-35,6
37,Hotel Roomers,Marco,6.0,Stylishes Hotel in sehr guter Innenstadtlage. Super Bar. Cooles Design. Top geeignet für ein lustiges City-Wochenende mit Freunden.,Nähe Hauptbahnhof. Aber nicht direkt im Rotlichtbereich.,6.0,Wirklich gut. Sehr gemütliches Bett!,5.0,,,,,,,,,Freunde,Keine Kinder,1-3 Tage im Dezember 2017,Stadt,46-50,5
38,Hotel Roomers,Timo,5.0,Sehr gelungenes Hotel mit einer super Bar. Perfekt für Geschäftsreisende und Touristen. Die Lage ist sehr Zentral und gut erreichbar.,,6.0,,5.0,,4.0,,4.0,,3.0,,5.0,Alleinreisend,Keine Kinder,1-3 Tage im Dezember 2017,Arbeit,31-35,6
39,Hotel Roomers,Mick,5.0,"Freundlicher und aufmerksamer Empfang mit Welcome Drink, günstiges und unkompliziertes Valet Parking. Schönes Zimmer mit guten Matratzen, flauschigen Bademänteln. Regendusche jedoch stark verkalkt und müsste schnellstmöglich ausgetauscht werden. Frühstück preislich mit EUR 32 pro Person völlig überteuert. Barambiente ganz nett jedoch mit unaufmerksamen Baarkeepern die Coolness mit Freundlchkeit verwechseln",,6.0,,6.0,,5.0,,,,,,5.0,Paar,Keine Kinder,1-3 Tage im Dezember 2017,Stadt,36-40,3
40,Hotel Roomers,Adem,6.0,Sehr stilvolles Hotel mit einer sehr schönen Innen-Einrichtung. Die Zimmer sind ebenfalls sehr gut gestaltet. Absolut zum Empfehlen die Bar ist ein muss!,,,,,,,Besonders gut hat mir die Bar gefallen. Die Drinks sind unschlagbar!,6.0,,,,,Freunde,Keine Kinder,1-3 Tage im November 2017,Stadt,26-30,4
41,Hotel Roomers,Jörg,6.0,Top Desinghotel. Sehr schöne Zimmer mit moderner Ausstattung. Exzellentes Restaurant und sehr gutes Frühstücksbuffet. Hier stimmt alles.,,5.0,,6.0,,5.0,,6.0,,5.0,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im November 2017,Arbeit,46-50,104
42,Hotel Roomers,Marvin,6.0,Hervorrangendes Haus im Herzen Frankfurts. Vom Checkin bis zum Ende des Urlaubs eine tolle Erfahrung (und ich kenne viele Häuser im 5* Bereich in Deutschland).,,,Sehr ansprechend gestaltete Zimmer. Allerdings sehr klein geraten.,5.0,Das Hotel ist sehr modern gestaltet und genau dazu passt die lockere Art des Personals perfekt. Alles sehr entspannt und cool aber auf einer hohen Qualität. Welcomedrink zum Empfang bis hin zum Apfel bei der Abreise waren nette Gesten.,6.0,,,Toller Spa mit Balkon & Blick auf die Stadt!,6.0,,,Paar,Keine Kinder,1-3 Tage im November 2017,Stadt,26-30,12
43,Hotel Roomers,Karsten,5.0,Designhotel inmitten der Stadt. Gute Bar. Recht kleine und dunkle Zimmer - Design wurde leider über Komfort gestellt.,,4.0,,4.0,,5.0,,5.0,,,,5.0,Paar,Keine Kinder,1-3 Tage im November 2017,Stadt,46-50,49
44,Hotel Roomers,Nils,6.0,"Das Hotel sucht seinesgleichen-einmalige Unterkunft als Partybase! Erstklassige Bar und sehr zuvorkommendes Personal. Sowohl die Zimmer, also auch das Restaurant lassen keine Wünsche offen. Bin dort regelmäßig Gast und komme immer wieder gerne mit Freunden zum Feier ! Wirklich sehr zu empfehlen!
Unbedingt die Zimmer mit dem Schiebeelementen am Badezimmer buchen. Diese sind wesentlich größer.
Der Wellnessbereich ist einfach nur Endstufe!","Top Lage, alles bequem fussläufig erreichbar",6.0,"Das roomers ist mein absoluter Favorit in FFM, das ganze Design ist einfach genial.
Das Konzept schlüssig.",6.0,Sehr zuvorkommendes Personal.,6.0,Erstklassige Bar,6.0,"Vor- und nach dem Feiern: Saunieren!
Erstklassige Aussicht, einmaliges Ambiente",6.0,,,Paar,Keine Kinder,1-3 Tage im November 2017,Sonstige,36-40,8
45,Hotel Roomers,Niko,6.0,Sehr sehr gute SPA-Anlage. Zimmer etwas klein würde ich sagen. Dafür aber auch eine sehr gute Bar die auch gerne Frankfurter aufsuchen.,Nähe Bahnhof.,4.0,Etwas klein. Bad geht so....,4.0,,,,,,,,,Alleinreisend,Keine Kinder,1-3 Tage im November 2017,Arbeit,41-45,2
46,Hotel Roomers,Alex,6.0,"Designhotel erster Klasse. Wer in einem besonderen Hotel mit besonderer Bar übernachten will, hat hier die Möglichkeit. Aber günstig ist es nicht.",,,,,,,,,,,,6.0,Freunde,Keine Kinder,3-5 Tage im September 2017,Sonstige,26-30,9
47,Hotel Roomers,Peter,6.0,"Eines der schönsten und coolsten Hotels das ich je gesehen habe.

Als Überraschung für meine Freunde wollte ich mit Ihr eine Nacht in diesem Designer Hotel übernachten, und es ist ach ein Jahr später und vermutlich 20 weitere Hotelaufenthalte immer noch mein Lieblingshotel.","Frankfurt am Main ist eine Metropole,

Frankfurter Oper, das Bahnhofsviertel, Shoppen in der Frankfurter Zeil. Goethe Straße mit den großen Luxuslabels: Louis Vuitton, Chanel, Prada, Rolex, Patek Philippe💎💳👍🏼.... man kann in die Innenstadt laufen mit bequemen Schuhen circa 10 min.",6.0,"Wer auf Design steht kommt hier auf seine Kosten.
Gläserne Badezimmer, dicker Flokatie Teppich in den Hotelfluren, Recamier mit Samt im Zimmer, und ein Bett mit einen beindruckenden Kopfteil. Das Bett fand ich so geil, das ich mir sogar für daheim nachgekauft 😍😍😍 bei Swisssens gibt es eines das ziemlich ähnlich aussieht.",6.0,"Meine Freundin hatte Geburstag,

das Hotelteam hat extra eine Torte mit Ihrem Namen verziert, und wir haben Sie auch auf dem Zimmer überrascht. Wir taten als wäre die Klimaanlage defekt, und statt des Technikers kam dann die Torte Das war die tollste Geburstagsüberraschung die ich je gesehen habe, vielen Dank an das tolle Team❤️😘😍😍😍😍😍❤️❤️❤️❤️",6.0,,,"der Main ist nicht sehr weit, dort kann man toll spazieren, in die City ist es auch zu Fuß zu schaffen.
Das Hotel hat eine großartige Bar und einen umwerfenden Spa Bereich, den man auf keinen Fall verpassen sollte. 👍🏼",6.0,,,Paar,Keine Kinder,1-3 Tage im August 2017,Wandern und Wellness,26-30,2
